event,file,record,day,utc,counts_total,SWEAP_Start,solar_distance_Rs,peak_channel,peak_measure,peak_residual_r,counts_lag_ms,V2_raw_envelope_r0,V2_residual_envelope_r0,V2_residual_signed_r0,V5_raw_envelope_r0,V5_residual_envelope_r0,V5_residual_signed_r0,V1V2_raw_envelope_r0,V1V2_residual_envelope_r0,V1V2_residual_signed_r0,V3V4_raw_envelope_r0,V3V4_residual_envelope_r0,V3V4_residual_signed_r0
2143,psp_fld_l2_tds_wf_20250307_v00.cdf,57,20250307,2025-03-07T18:14:09.979379000,45,0.09777723997831345,108.07887595227828,V3V4,envelope,-0.18443499879336983,-0.9333333333333333,-0.009801089864809768,-0.009801089864809733,0.0020769061160160404,0.023918169881396115,0.02391816988139609,-0.07996112174369316,0.11466718429295478,0.11466718429295475,-0.009550461701521469,0.05739848289620572,0.057398482896205735,-0.04518056517920653
2144,psp_fld_l2_tds_wf_20250307_v00.cdf,58,20250307,2025-03-07T18:14:31.707990000,341,0.8549442291259766,108.07790570648268,V5,signed_mean,-0.239842135429349,0.3333333333333333,0.028273152725794018,0.0381717869707601,-0.05334481873909208,-0.02401134346816522,-0.017194733401195914,-0.06829040944025036,-0.08328075246086092,-0.09052653778479453,-0.07703422600050926,-0.004802220768876824,-0.00868368628285128,-0.08455814856745768
2148,psp_fld_l2_tds_wf_20250307_v00.cdf,62,20250307,2025-03-07T18:15:48.616621000,228,0.8678109645843506,108.07450625269513,V5,signed_mean,-0.18260484024867968,-0.06666666666666667,0.09572338148479505,0.09572538808941887,0.05270163674215654,0.02810019283147719,0.028094831293142157,0.08676972756624796,0.03787248520749368,0.037850337139999836,-0.037140147614365404,0.06336845765670227,0.063385297372158,0.08157866684292592
2150,psp_fld_l2_tds_wf_20250307_v00.cdf,64,20250307,2025-03-07T18:22:11.128142000,210,0.6482975482940674,108.05763691246227,V3V4,envelope,-0.22493905634601283,1.0666666666666667,-0.07298987190308363,-0.11666340403536443,-0.06724374866076617,-0.00671010711543165,-0.0245275595549813,-0.006798087471591371,0.0019450755113826369,0.009895310682908401,0.08865616587972835,-0.10554230838809857,-0.1817276294734706,0.0038875655350473232
2151,psp_fld_l2_tds_wf_20250307_v00.cdf,65,20250307,2025-03-07T18:22:11.485625000,578,0.1319972425699234,108.0575937904269,V5,signed_mean,-0.14345247596471633,0.4,-0.11523918042735651,-0.11523918042735648,-0.010237878319738911,0.0017871538802421635,0.0017871538802421705,-0.06843077089034685,0.020929884843557123,0.020929884843557126,0.011843325719341552,0.10131753146809375,0.10131753146809373,0.03791948547717788
2152,psp_fld_l2_tds_wf_20250307_v00.cdf,66,20250307,2025-03-07T18:29:24.214380000,65,0.3220904767513275,108.03846773034354,V1V2,envelope,-0.2215348838262631,-0.4666666666666667,-0.07196756133032024,-0.07196756133032026,-0.10907084105327947,-0.018622274768288524,-0.018622274768288538,-0.018439889154514534,-0.05658300119858317,-0.05658300119858318,0.09258047142504035,0.00043470875862447814,0.0004347087586244972,-0.09597990066674894
2153,psp_fld_l2_tds_wf_20250307_v00.cdf,67,20250307,2025-03-07T21:56:04.958131000,116,0.7557375431060791,107.48854103780366,V3V4,envelope,-0.18916020954518115,0.0,-0.09401602915639509,-0.09401602915639508,-0.0508015738373412,0.07647711306378704,0.07647711306378702,0.005435419228102936,-0.06150967321489073,-0.06150967321489073,0.04217099065816503,-0.18916020954518112,-0.18916020954518115,-0.04450143173759278
2154,psp_fld_l2_tds_wf_20250307_v00.cdf,68,20250307,2025-03-07T22:00:27.427254000,398,0.2064841091632843,107.47682909299985,V2,signed_mean,0.36450426991586615,0.6666666666666666,-0.0831266612646494,-0.08312666126464936,0.2932814457899681,0.04991723862929612,0.04991723862929612,0.030200016513270537,-0.07194735488387208,-0.07194735488387205,-0.01733920864042176,-0.13422099521795802,-0.134220995217958,-0.041264350060036294
2155,psp_fld_l2_tds_wf_20250307_v00.cdf,69,20250307,2025-03-07T23:53:22.058209000,1761,0.14906755089759827,107.17452925111398,V2,signed_mean,0.2294355051359736,-0.06666666666666667,0.05795789787603276,0.057957897876032734,0.18919012480456046,0.05596591186222658,0.055965911862226596,0.08234065864549822,0.038839619941509654,0.03883961994150965,-0.0852517316501504,0.0776315806647313,0.0776315806647313,-0.005788356271741372
2156,psp_fld_l2_tds_wf_20250307_v00.cdf,70,20250307,2025-03-07T23:56:06.338821000,1789,0.15254421532154083,107.1671496334627,V1V2,envelope,-0.5999817350358013,-1.0,-0.3886280315173712,-0.38862803151737124,0.016559238142984697,0.00577869342824704,0.005778693428247016,0.09873002898533305,-0.392588600792268,-0.39258860079226815,-0.012486424480473254,-0.37542414667827506,-0.37542414667827506,0.016891684376012423
