event,file,record,utc,day,SC_TWTA_On_Flag,voltage,scm,native_r0,envelope_r0,envelope_peak_r,scm_lag_ms,weighted_coherence_raw,weighted_coherence_outside_lines,masked_cross_spectral_weight_fraction,scm_power_remaining_fraction,peak_coherence_outside_lines,peak_coherence_frequency_hz,longest_coherent_run_hz,flags
3117,psp_fld_l2_tds_wf_20250317_v00.cdf,76,2025-03-17T17:18:15.789167000,20250317,0,V2,SCM4,-0.18578763538593998,-0.02113481183976964,-0.18148007022087934,0.3333333333333333,0.8258754522251222,0.07990505926358421,0.8279135289951615,0.04402868909204647,0.7323915638158984,824062.5,468.75,persistent-line dominated coherence
3117,psp_fld_l2_tds_wf_20250317_v00.cdf,76,2025-03-17T17:18:15.789167000,20250317,0,V5,SCM4,0.23765646671292084,-0.0014477128864875677,-0.07193638881284649,-1.0,0.9256189990433661,0.0704139882168105,0.9339563771108857,0.04408769257076923,0.3773641621721081,282187.5,0.0,persistent-line dominated coherence
3117,psp_fld_l2_tds_wf_20250317_v00.cdf,76,2025-03-17T17:18:15.789167000,20250317,0,V1V2,SCM4,0.03963675742367195,0.00974609802438739,-0.14130176543226627,0.3333333333333333,0.620732403707048,0.08159670851982195,0.6145484463125155,0.04402868909204647,0.44659037476441116,113906.25,0.0,no threshold crossed
3117,psp_fld_l2_tds_wf_20250317_v00.cdf,76,2025-03-17T17:18:15.789167000,20250317,0,V3V4,SCM4,0.0367232719069166,-0.004989406354400781,-0.14292733025041962,0.3333333333333333,0.560219308305417,0.08350476422345395,0.5389738173663932,0.04415070648155026,0.5233348800037305,579843.75,0.0,no threshold crossed
3118,psp_fld_l2_tds_wf_20250317_v00.cdf,77,2025-03-17T17:19:53.688402000,20250317,0,V2,SCM4,-0.15541082225748043,-0.04439367177034717,0.15829409858316715,-0.8,0.8407650962450297,0.06532337176044059,0.8442303978640773,0.031249448849984266,0.558434055541173,613593.75,0.0,persistent-line dominated coherence
3118,psp_fld_l2_tds_wf_20250317_v00.cdf,77,2025-03-17T17:19:53.688402000,20250317,0,V5,SCM4,0.015309654874542424,0.022292950262275447,0.1451128712927193,0.5333333333333333,0.940117061482139,0.07046654401661437,0.9461078583383894,0.03130053134018555,0.5365538145895982,609375.0,0.0,persistent-line dominated coherence
3118,psp_fld_l2_tds_wf_20250317_v00.cdf,77,2025-03-17T17:19:53.688402000,20250317,0,V1V2,SCM4,0.06501577636173586,-0.045713878545428986,0.15955261766943832,-0.8,0.7146059229287213,0.06512507985878249,0.7191120206548961,0.031249448849984266,0.4642475043000203,850781.25,0.0,no threshold crossed
3118,psp_fld_l2_tds_wf_20250317_v00.cdf,77,2025-03-17T17:19:53.688402000,20250317,0,V3V4,SCM4,0.004867173529937256,-0.043162801805072995,-0.1585831582751778,0.8666666666666666,0.7728489938109817,0.06473602667720972,0.7800247112392774,0.031322858250657136,0.5131234259625096,850781.25,0.0,no threshold crossed
3119,psp_fld_l2_tds_wf_20250317_v00.cdf,78,2025-03-17T17:58:23.400750000,20250317,0,V2,SCM4,-0.37051329459215643,0.052937458037819976,0.10471909437985646,-0.4666666666666667,0.8900548162486557,0.07286307291060662,0.9025459780803069,0.039640059253945974,0.5005419652819854,773437.5,0.0,persistent-line dominated coherence
3119,psp_fld_l2_tds_wf_20250317_v00.cdf,78,2025-03-17T17:58:23.400750000,20250317,0,V5,SCM4,-0.5228602369366757,0.0104411767429117,-0.10955669078951784,-0.9333333333333333,0.9223361078615135,0.07028173660343837,0.9324085433791304,0.03970076690339169,0.45717960737293933,52968.75,0.0,waveform correlation; persistent-line dominated coherence
