event,counts__log_dispersion_16,counts__log_dispersion_128,counts__log_dispersion_1024,counts__width90,counts__asymmetry,counts__top10pct_fraction,counts__bin_entropy,counts__spectral_entropy,counts__spectral_peak3,counts__fano_sample,count_pair_V2__envelope_corr,count_pair_V4__envelope_corr,count_pair_V1V2__envelope_corr,count_pair_V3V4__envelope_corr,count_pair_SCM5__envelope_corr
10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.13162154722853864,0.686132768547255,1.519501094174777,0.897514185855263,0.1500003206957077,0.13529721892711216,0.9945646212595639,0.9937081605832504,0.00662509429638676,0.6669057625152568,-0.004959495162175184,0.005972533740685779,0.0822506625713863,-0.010962652813697557,0.08825275574203315
12,0.1367547717098885,0.613093447924432,1.3716420175416804,0.7739257812500002,-0.23743427970557282,0.3263157894736842,0.9166684963880738,0.9928379582567745,0.005006507466622456,0.9757944121339258,-0.011698562106743748,0.03796441005673537,-0.08268802267193594,0.12927273012524143,0.3349952688454701
13,0.3588573236784154,1.110123899686039,1.994225152462633,0.850894657258066,-0.38411302145808285,0.19278350515463918,0.9697018695898351,0.9926438315369438,0.00996582316254596,0.8298267985443825,-0.12619139508242644,-0.10138495254043503,-0.044989313677441266,-0.09853907548065899,0.4100473848744398
14,0.25161743701958306,0.9346444961417141,1.7128238878130169,0.8967552211828397,-0.04172936206491968,0.11925070399542913,0.9944714262675335,0.986134733741712,0.02112704922503458,0.49458054954169234,-0.18995157596053847,-0.06628310287802036,0.029740433130520667,-0.05475940543405081,0.10494814964124848
15,0.3407492821333707,1.097410155979868,1.9688830632456065,0.8476412676949795,-0.013772179869634348,0.13544258798435835,0.9892849940256342,0.986898384159358,0.020154262000029594,0.5896402668396129,0.06631923281327039,0.25640132850987907,0.045916563783698204,0.3475186021715098,-0.11180704277913533
16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.00039833149544868347,-0.003413344711422284,0.16590577720064242,0.47109375000000003,-0.9203980099502487,1.0,0.25,0.9889114688579952,0.002476227010167661,0.999908444471572,-0.06801762571635991,-0.024607015906429077,-0.013709880436386657,0.006158668731676921,-0.02887274213738912
18,0.028468039648578636,0.13049065960973605,0.5355407667790762,0.7390625,-0.1775898520084571,0.5217391304347826,0.7461252037344992,0.9933013548819656,0.0036787860804045735,0.9972228156376842,0.025845801910294085,0.09856868379201991,-0.013931654819060817,0.12827421188214624,-0.08804528448645565
19,0.2890455265177961,0.9744161833171203,1.8402070785526097,0.7875707165948275,-0.38481535823728547,0.2289762340036563,0.9510235626350684,0.9930846970308894,0.005837071252659324,0.9085303362632032,-0.11377272784904438,-0.4396302586251988,-0.09947113441067429,-0.5129583274820708,-0.33213199748688893
20,0.0303936863851404,0.11540712238407733,0.6970278391128101,0.7582031249999993,-0.44238365103898436,0.3445692883895131,0.8773008493995305,0.9936070575056266,0.003423663148107295,1.014354672400946,0.17251769634619538,0.08338858872243858,-0.0036346983281293453,-0.07872158912452194,-0.33797050495442266
21,-0.00039833149544868347,-0.003413344711422284,-0.030388867943325817,0.3031250000000001,-0.670103092783505,1.0,0.25,0.9959356479810064,0.0022174860334228832,0.999908444471572,0.05336543202027575,0.0661642463831756,-0.011896211815042287,0.039927910185139574,0.10812716388499558
22,0.2744919702846908,1.0016899883629524,1.8550065194217997,0.9056760428012489,-0.12129033143120375,0.12781852138659863,0.9925614429503378,0.9871006458770025,0.019978863241028738,0.5368694393794851,-0.08855336484657086,0.0186223953414202,-0.045336913758840254,0.03396340201160197,0.21555105579564254
23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0017953974076967245,-0.015555004578171038,0.3130229863869946,0.8277343749999999,-0.877772534214252,1.0,0.4324289523296622,0.9895482700986844,0.004124324894364481,0.99969481490524,-0.03567363342768117,0.08852132815040166,0.10927731910369533,0.14154290554876972,-0.04752617272787103
25,0.22291327016471313,0.9145100849021708,1.6932939152502178,0.907391656195367,0.05240400201051204,0.11775723767254367,0.9949005949247886,0.9862868413862198,0.020784934383328506,0.4882469608835308,-0.015106875254014149,-0.16636819421987623,-0.3363987455492315,-0.23242199272716502,0.06521066804756936
26,0.3514141665197865,1.1087554930279517,1.985723679555971,0.8547364309210522,-0.0022367680503707302,0.13482975273611675,0.9890819139414341,0.9867916652091033,0.02185142004766703,0.5860083285222663,0.0707774719894968,0.19030515004193443,0.10350901665551217,0.1899279271497554,-0.07729837318198557
27,0.07641355542994911,0.5316434777856341,1.281805325997194,0.9005307284268468,0.017910429733488966,0.13226408056695263,0.9954199170849749,0.9940984251135236,0.006419931462382514,0.7022350488245496,0.09542269045006448,-0.08342326635927463,-0.13999959051916275,-0.1356846943633312,0.025631895196556398
28,0.045959930428438996,0.4676768170793188,1.2268541243559172,0.906160573725871,-0.010872503410499,0.1326959847036329,0.9960486456058364,0.9940496035388986,0.006486716577773003,0.7030308894581657,0.06954952306351514,0.0459000240847815,-0.002812874103643198,0.02796839355870956,0.0024372451923875757
29,-0.004806358609345675,0.08511184344545955,0.4509830560171805,0.43183593749999993,-0.6797829036635006,1.0,0.5490934263060981,0.9859122732877359,0.005249931338757783,0.9992370372631001,-0.0624206001974592,-0.1275071473054283,-0.1291662576544948,-0.1527867180220996,-0.003072424512655915
